student_track_id,track_Name,date_enrolled,track_completed,days_for_completion,completion_bucket
1,"Data Analyst",2022-04-05,0,NULL,NULL
1,"Data Scientist",2022-07-03,0,NULL,NULL
1,"Data Scientist",2022-09-08,0,NULL,NULL
1,"Data Analyst",2022-07-16,0,NULL,NULL
1,"Business Analyst",2022-05-07,0,NULL,NULL
1,"Data Analyst",2022-01-12,0,NULL,NULL
1,"Data Analyst",2022-01-27,0,NULL,NULL
1,"Data Scientist",2022-06-10,0,NULL,NULL
1,"Data Scientist",2022-03-09,0,NULL,NULL
1,"Data Scientist",2022-02-16,0,NULL,NULL
1,"Data Scientist",2022-03-06,0,NULL,NULL
1,"Data Analyst",2022-06-19,0,NULL,NULL
1,"Data Scientist",2022-01-07,0,NULL,NULL
2,"Data Analyst",2022-01-07,0,NULL,NULL
3,"Business Analyst",2022-01-07,0,NULL,NULL
1,"Data Analyst",2022-04-03,0,NULL,NULL
2,"Business Analyst",2022-04-03,0,NULL,NULL
1,"Data Analyst",2022-01-31,0,NULL,NULL
1,"Data Scientist",2022-08-06,0,NULL,NULL
1,"Data Scientist",2022-06-22,0,NULL,NULL
1,"Data Analyst",2022-02-18,0,NULL,NULL
1,"Data Scientist",2022-02-17,0,NULL,NULL
2,"Data Analyst",2022-01-26,0,NULL,NULL
1,"Data Analyst",2022-01-12,0,NULL,NULL
1,"Data Analyst",2022-03-11,0,NULL,NULL
1,"Data Scientist",2022-04-26,0,NULL,NULL
1,"Data Analyst",2022-10-02,0,NULL,NULL
1,"Data Analyst",2022-07-31,0,NULL,NULL
1,"Data Scientist",2022-10-04,0,NULL,NULL
2,"Data Analyst",2022-10-04,0,NULL,NULL
1,"Data Analyst",2022-07-18,0,NULL,NULL
1,"Data Analyst",2022-02-22,0,NULL,NULL
1,"Data Scientist",2022-03-27,0,NULL,NULL
1,"Business Analyst",2022-09-04,0,NULL,NULL
1,"Data Analyst",2022-09-07,0,NULL,NULL
1,"Data Scientist",2022-06-25,0,NULL,NULL
1,"Data Analyst",2022-02-08,0,NULL,NULL
1,"Data Scientist",2022-05-14,1,295,"91 to 365 days"
1,"Data Scientist",2022-01-23,0,NULL,NULL
1,"Data Analyst",2022-01-14,0,NULL,NULL
1,"Data Scientist",2022-09-20,0,NULL,NULL
1,"Data Analyst",2022-04-21,0,NULL,NULL
2,"Business Analyst",2022-04-21,0,NULL,NULL
1,"Business Analyst",2022-10-17,0,NULL,NULL
1,"Data Scientist",2022-05-04,0,NULL,NULL
1,"Data Analyst",2022-03-13,0,NULL,NULL
1,"Data Analyst",2022-02-12,0,NULL,NULL
1,"Data Analyst",2022-01-12,0,NULL,NULL
1,"Data Scientist",2022-06-25,0,NULL,NULL
1,"Data Analyst",2022-01-28,0,NULL,NULL
1,"Data Analyst",2022-10-03,0,NULL,NULL
1,"Data Scientist",2022-04-02,0,NULL,NULL
1,"Data Scientist",2022-02-14,0,NULL,NULL
1,"Data Scientist",2022-06-29,0,NULL,NULL
1,"Data Analyst",2022-03-24,0,NULL,NULL
1,"Data Analyst",2022-01-13,0,NULL,NULL
2,"Business Analyst",2022-01-13,0,NULL,NULL
1,"Data Analyst",2022-05-16,0,NULL,NULL
1,"Data Analyst",2022-04-03,0,NULL,NULL
1,"Business Analyst",2022-08-15,0,NULL,NULL
1,"Data Scientist",2022-02-01,0,NULL,NULL
2,"Data Analyst",2022-03-25,0,NULL,NULL
3,"Business Analyst",2022-07-09,0,NULL,NULL
1,"Data Analyst",2022-01-19,0,NULL,NULL
2,"Business Analyst",2022-06-15,0,NULL,NULL
1,"Data Scientist",2022-03-04,0,NULL,NULL
1,"Data Scientist",2022-06-12,0,NULL,NULL
1,"Data Analyst",2022-05-30,0,NULL,NULL
1,"Business Analyst",2022-09-17,0,NULL,NULL
1,"Data Analyst",2022-01-04,0,NULL,NULL
2,"Business Analyst",2022-01-04,0,NULL,NULL
1,"Data Analyst",2022-07-22,0,NULL,NULL
1,"Business Analyst",2022-09-11,0,NULL,NULL
1,"Data Analyst",2022-06-19,0,NULL,NULL
1,"Data Scientist",2022-04-06,0,NULL,NULL
2,"Data Analyst",2022-04-06,0,NULL,NULL
3,"Business Analyst",2022-04-06,0,NULL,NULL
1,"Data Scientist",2022-08-30,0,NULL,NULL
1,"Data Analyst",2022-05-04,0,NULL,NULL
2,"Business Analyst",2022-05-04,0,NULL,NULL
1,"Data Scientist",2022-02-22,0,NULL,NULL
1,"Data Analyst",2022-08-17,0,NULL,NULL
1,"Data Analyst",2022-05-14,0,NULL,NULL
2,"Business Analyst",2022-05-20,0,NULL,NULL
1,"Data Analyst",2022-02-18,0,NULL,NULL
1,"Data Analyst",2022-07-28,0,NULL,NULL
1,"Data Analyst",2022-06-18,0,NULL,NULL
1,"Data Scientist",2022-05-20,0,NULL,NULL
1,"Data Analyst",2022-06-10,0,NULL,NULL
1,"Data Scientist",2022-02-01,0,NULL,NULL
1,"Data Scientist",2022-06-02,0,NULL,NULL
1,"Data Scientist",2022-02-15,0,NULL,NULL
1,"Data Scientist",2022-06-22,0,NULL,NULL
2,"Data Analyst",2022-07-13,0,NULL,NULL
1,"Data Analyst",2022-06-28,0,NULL,NULL
1,"Data Scientist",2022-04-30,0,NULL,NULL
2,"Data Analyst",2022-02-13,1,76,"61 to 90 days"
1,"Business Analyst",2022-01-15,0,NULL,NULL
1,"Data Scientist",2022-06-02,0,NULL,NULL
1,"Data Analyst",2022-01-03,1,20,"8 to 30 days"
1,"Data Scientist",2022-03-20,0,NULL,NULL
1,"Data Analyst",2022-05-21,1,208,"91 to 365 days"
1,"Data Analyst",2022-01-23,0,NULL,NULL
1,"Data Scientist",2022-09-19,0,NULL,NULL
2,"Data Analyst",2022-05-30,0,NULL,NULL
1,"Data Scientist",2022-06-05,0,NULL,NULL
2,"Data Analyst",2022-06-05,0,NULL,NULL
1,"Data Analyst",2022-08-09,0,NULL,NULL
1,"Data Scientist",2022-01-24,0,NULL,NULL
1,"Business Analyst",2022-02-24,0,NULL,NULL
1,"Data Scientist",2022-06-20,0,NULL,NULL
2,"Business Analyst",2022-03-06,0,NULL,NULL
1,"Data Analyst",2022-02-07,0,NULL,NULL
1,"Data Analyst",2022-03-01,0,NULL,NULL
1,"Data Analyst",2022-03-20,0,NULL,NULL
1,"Data Scientist",2022-03-17,0,NULL,NULL
2,"Data Analyst",2022-03-02,0,NULL,NULL
1,"Data Scientist",2022-06-19,0,NULL,NULL
1,"Data Scientist",2022-07-20,0,NULL,NULL
1,"Data Scientist",2022-06-11,0,NULL,NULL
2,"Data Analyst",2022-09-21,0,NULL,NULL
1,"Data Analyst",2022-01-15,0,NULL,NULL
1,"Business Analyst",2022-10-19,0,NULL,NULL
1,"Data Analyst",2022-03-03,0,NULL,NULL
1,"Data Scientist",2022-01-04,0,NULL,NULL
2,"Data Analyst",2022-01-04,0,NULL,NULL
1,"Business Analyst",2022-03-30,0,NULL,NULL
1,"Data Scientist",2022-08-15,0,NULL,NULL
1,"Business Analyst",2022-04-14,0,NULL,NULL
1,"Data Analyst",2022-01-19,0,NULL,NULL
1,"Data Analyst",2022-08-08,0,NULL,NULL
1,"Data Scientist",2022-06-29,0,NULL,NULL
1,"Business Analyst",2022-03-08,0,NULL,NULL
1,"Business Analyst",2022-01-19,0,NULL,NULL
1,"Data Scientist",2022-01-27,0,NULL,NULL
1,"Data Scientist",2022-01-15,0,NULL,NULL
2,"Data Analyst",2022-07-20,0,NULL,NULL
1,"Data Scientist",2022-01-23,0,NULL,NULL
1,"Data Scientist",2022-02-16,0,NULL,NULL
1,"Data Scientist",2022-04-08,0,NULL,NULL
1,"Data Analyst",2022-04-15,0,NULL,NULL
2,"Business Analyst",2022-04-15,0,NULL,NULL
1,"Data Analyst",2022-01-19,0,NULL,NULL
1,"Data Scientist",2022-02-16,0,NULL,NULL
1,"Data Analyst",2022-05-27,0,NULL,NULL
1,"Data Scientist",2022-10-10,0,NULL,NULL
1,"Data Scientist",2022-07-23,0,NULL,NULL
2,"Data Analyst",2022-07-23,0,NULL,NULL
3,"Business Analyst",2022-07-23,0,NULL,NULL
1,"Data Scientist",2022-01-04,0,NULL,NULL
1,"Data Scientist",2022-09-20,0,NULL,NULL
1,"Data Scientist",2022-05-18,0,NULL,NULL
1,"Data Analyst",2022-07-11,0,NULL,NULL
1,"Data Scientist",2022-06-07,0,NULL,NULL
1,"Business Analyst",2022-01-05,0,NULL,NULL
1,"Data Analyst",2022-02-15,0,NULL,NULL
2,"Business Analyst",2022-05-02,0,NULL,NULL
1,"Data Scientist",2022-04-10,0,NULL,NULL
2,"Data Analyst",2022-04-09,0,NULL,NULL
3,"Business Analyst",2022-01-10,0,NULL,NULL
1,"Data Scientist",2022-06-25,0,NULL,NULL
1,"Data Analyst",2022-09-07,0,NULL,NULL
1,"Data Scientist",2022-07-27,0,NULL,NULL
1,"Data Scientist",2022-01-25,0,NULL,NULL
1,"Data Analyst",2022-06-25,0,NULL,NULL
1,"Data Analyst",2022-08-05,0,NULL,NULL
1,"Data Scientist",2022-08-22,0,NULL,NULL
1,"Data Analyst",2022-04-23,0,NULL,NULL
1,"Data Analyst",2022-09-21,0,NULL,NULL
1,"Data Scientist",2022-09-27,0,NULL,NULL
1,"Data Analyst",2022-06-19,0,NULL,NULL
1,"Data Scientist",2022-09-22,0,NULL,NULL
1,"Data Analyst",2022-01-17,0,NULL,NULL
1,"Data Analyst",2022-03-08,0,NULL,NULL
1,"Data Analyst",2022-01-06,0,NULL,NULL
1,"Data Analyst",2022-02-10,0,NULL,NULL
1,"Data Analyst",2022-02-09,0,NULL,NULL
1,"Data Analyst",2022-03-20,0,NULL,NULL
2,"Business Analyst",2022-01-08,0,NULL,NULL
1,"Data Analyst",2022-03-21,0,NULL,NULL
